source_row,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
23,-4.405043728,-3.685968187,-2.446996463,-0.1330084705,1.092624887,-0.389097064,-0.2724881796,0.6333134056,0.7912669545,-0.8687990148
24,-3.002774366,-2.351088959,-0.805818524,-0.6635850157,2.541707137,0.00367771036,-0.0906229488,0.8178819485,-0.137724984,1.219689791
25,-4.359273333,-2.117003916,0.1515906421,-1.390027696,1.876935766,-0.03681938497,0.03281588358,0.6438080602,-1.127697254,0.627425608
26,-4.155313552,-1.918666461,-0.7878482779,-1.244596167,1.992584963,0.3965600909,-0.373070521,0.8620825933,-1.069336422,0.8555451186
27,-2.634318626,-2.952432647,1.850648262,-0.4394678704,2.147408169,0.7900710241,-0.01517417377,0.7608601938,-0.3962521306,0.4428024164
28,-3.393407047,0.7147999231,0.3044323958,1.289816042,-0.2349086787,0.1267694081,0.08670269296,-0.9378683154,-1.315637756,-1.168899227
29,-1.680296153,-2.790177829,0.03423958655,-0.2619518195,2.325750359,0.8663649435,-1.244427561,0.6087138427,-0.123223173,0.6087159896
30,5.884067685,4.953877222,-4.61527531,-0.009801875731,4.623206751,-1.103684681,0.6640338302,0.8227541545,0.4839197482,1.949497851
31,4.594048323,-1.316601176,-3.35311984,0.4504480965,2.866975216,1.42104817,1.446241273,1.313826548,0.9943516586,2.142746202
32,5.008323723,2.910858246,-3.273026375,-0.6562018264,3.028423782,-0.9105658555,2.688059046,-0.1904368516,-0.7057591417,1.052055953
33,3.897169641,-2.565654543,-0.2908857033,-0.06049986047,4.211149247,2.128495512,-0.4276758533,1.350427391,2.446394706,1.335730835
34,3.847961393,-0.1258582246,-1.302972641,0.9505071969,2.176479354,-1.003276064,1.291518139,0.2787839542,1.011503296,1.653743121
35,2.800545963,1.687793609,-2.336221402,-1.077142167,2.088076892,1.184667784,1.874480124,-0.8435526901,1.882859853,0.1520963172
36,2.79667253,0.6429854697,-0.4185743421,1.798996306,-0.1206670641,1.130105548,0.5511764833,0.6018025481,2.15728698,-0.5634773991
37,2.775462298,-1.678620985,-0.907009648,2.307104875,1.00625681,1.944952478,0.37555623,0.07224806392,-0.2401659426,-1.209298585
38,2.217445113,-2.074499169,-0.03311518131,2.226850233,-0.07562919397,1.191570652,0.915676677,-0.9614075635,-0.6230257136,-0.7414014003
39,1.841812299,-2.522709624,1.012577408,1.949953159,0.04650812886,1.060150539,1.015359829,-0.7148115236,-0.06922550994,-0.5490872232
40,1.661080409,-1.461493418,-0.152252452,1.292352694,1.474229119,0.626626627,0.2009685053,-0.3446830379,0.003995310016,-0.7760466933
41,2.617115367,-1.687841789,-0.6722538089,2.057950202,0.1116774872,1.523737685,0.9624354198,-1.011105826,-0.06256366657,-0.6134451137
42,-4.120782742,-0.1865133651,-3.443492738,-0.5832259935,-0.3767518359,0.3398902435,-0.1689536658,0.7547739967,-0.5993345641,-0.2264865914
43,-4.636411229,-3.288729461,-1.378254042,-1.448679026,-0.4191964129,-0.272987773,0.2462026403,1.491772893,0.7388437012,1.742738551
44,-3.661076896,-0.0899434285,-2.048933556,-0.8187140329,-0.3237810968,0.08246701966,-0.1737662503,1.010477837,0.1711775129,0.1566549494
45,-3.029148498,1.674480421,-1.602037381,-0.3043742392,-0.7170105364,-0.5050261837,0.7664210804,-0.3453034076,-0.3381220694,-0.1690008904
46,-4.9669474,-2.310642606,-0.4682711607,-1.348867636,0.473318811,-0.6548939416,-0.5934687118,1.980766392,-1.663823109,0.4817184956
47,-4.22492961,-3.472345178,0.8129216848,-1.088639879,0.9088486414,-1.802502647,-0.3539248205,2.085026111,-2.58732345,2.201515528
48,6.02678225,-1.771138165,-1.832564062,-5.320378752,-1.84790485,-1.699099039,-1.811585811,-1.705487843,0.4530718748,-1.356968316
49,4.881893451,-4.426089957,-1.523483578,-4.169612554,-2.353691461,-0.3174248731,-1.214462839,-0.7641592051,-0.1823796814,-0.7181674709
50,5.965314257,-5.625525433,-1.326067244,-6.327812297,-1.469752534,0.7010014636,-2.609351347,-0.5954739643,-0.6058549871,-0.9763833948
51,5.244868835,-1.71756337,-2.113643596,-4.019319454,-3.363971466,-0.8916889522,-1.735203233,-2.554998058,-0.8507150932,-1.875206614
52,4.984538022,1.961044564,-4.789593774,-6.904822335,-0.6752530007,-0.4218796802,-0.8516311676,-0.8626392107,1.442487128,-1.566974038
53,6.015865435,-1.053601469,-3.092592276,-6.421288229,-1.463905857,-0.2023657092,-0.8707509319,-0.9008687565,-0.1884117428,-1.15290767
54,3.332377252,-3.962447548,-1.03226689,-2.237895925,-1.495686948,0.3856586355,1.115955972,-0.9281329134,0.8053921938,0.2844725355
55,5.541574096,-4.233981894,-0.2321767224,-2.127541995,1.915485327,-1.364937806,-2.945289345,0.6087559795,4.952903602,0.5377482969
56,3.410218668,-5.178675304,-0.7823955639,-1.86673108,0.3229458963,0.234999631,-0.7430386801,-0.6192178507,3.464887794,0.9641173527
57,4.300035709,-4.34447409,0.8616838343,-0.9026439298,0.2431456145,-0.1478677113,-1.362033717,-0.04173677942,2.940302959,-0.1409556799
