feature,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
hip_flexion_left_minimum,0.1597665335,-0.1371820008,-0.1197333094,-0.03551693538,0.03672380604,-0.1820612627,0.1230414713,-0.145405565,0.02786103467,-0.1826090627
hip_flexion_left_rom,-0.2121536912,0.06409154684,0.1730569018,-0.07507582199,0.03429783426,0.06090868416,0.03439101866,0.02087873096,0.1175848894,-0.001552747161
hip_flexion_left_time_to_peak,-0.00922213838,0.1418132286,-0.182599406,-0.1708599343,0.2296079832,0.08485178454,-0.0571522903,0.06843743665,-0.06441715286,-0.112201963
knee_flexion_right_mean,-0.02940199162,-0.2530843231,0.04498864428,-0.04180784991,0.06045480186,0.025979695,-0.1372447946,-0.04553429383,-0.06849643959,-0.0009573885173
knee_flexion_right_median,0.0002194168596,-0.25583786,0.03469795211,-0.01157118659,0.1279377803,0.1229950286,-0.06294105679,0.1220073268,-0.09046246077,0.1568496163
knee_flexion_right_std,-0.2292168848,-0.01658267289,-0.0790632831,-0.04015642226,-0.003625058337,-0.06397966701,-0.197932408,-0.02752751415,-0.1351592378,-0.01771890488
knee_flexion_right_variance,-0.2265836172,-0.01964822913,-0.08435264634,-0.041919247,-0.008022489306,-0.07542341099,-0.2012938953,-0.01899241777,-0.1327968252,-0.001895688836
knee_flexion_right_maximum,-0.1916970935,-0.08582928397,-0.04834784782,-0.04193771818,-0.1830915075,-0.180501034,-0.1267951056,-0.0437696753,0.08580322532,0.07747004283
knee_flexion_right_minimum,0.1600026006,-0.0630199026,0.06430204002,0.02975138856,-0.03728144029,-0.02324758272,-0.2763373236,-0.2186052673,-0.0759494328,-0.1416012856
knee_flexion_right_rom,-0.2182956469,-0.05435965935,-0.06277078467,-0.04606467016,-0.1472570505,-0.1495245082,-0.02127705168,0.03234702276,0.09910438036,0.1130045441
knee_flexion_right_time_to_peak,0.008532700625,0.155808336,-0.2153634152,-0.1852112428,0.2291001966,0.0235355677,-0.01984805696,0.03295299568,-0.04261659476,-0.02439958206
